 row  golden      hw     gold(dec)       hw(dec)      rel%
 307    4582    4582     4160.0000     4160.0000    0.000%
 308    4587    4587     4320.0000     4320.0000    0.000%
 309    4586    4586     4288.0000     4288.0000    0.000%
 310    458B    458B     4448.0000     4448.0000    0.000%
 311    4582    4582     4160.0000     4160.0000    0.000%
 312    458C    458C     4480.0000     4480.0000    0.000%
 313    4583    4583     4192.0000     4192.0000    0.000%
 314    4580    4580     4096.0000     4096.0000    0.000%
 315    457C    457C     4032.0000     4032.0000    0.000%
 316    4580    4580     4096.0000     4096.0000    0.000%
 317    457E    457E     4064.0000     4064.0000    0.000%
 318    4586    4586     4288.0000     4288.0000    0.000%
 319    4590    4590     4608.0000     4608.0000    0.000%
 320    4585    4585     4256.0000     4256.0000    0.000%
 321    4583    4583     4192.0000     4192.0000    0.000%
 322    4579    4579     3984.0000     3984.0000    0.000%
 323    4571    4571     3856.0000     3856.0000    0.000%
 324    456F    456F     3824.0000     3824.0000    0.000%
 325    4581    4581     4128.0000     4128.0000    0.000%
 326    457D    457D     4048.0000     4048.0000    0.000%
 327    4580    4580     4096.0000     4096.0000    0.000%
 328    4585    4585     4256.0000     4256.0000    0.000%
 329    4586    4586     4288.0000     4288.0000    0.000%
 330    4588    4588     4352.0000     4352.0000    0.000%
 331    4584    4584     4224.0000     4224.0000    0.000%
 332    4581    4581     4128.0000     4128.0000    0.000%
 333    4587    4587     4320.0000     4320.0000    0.000%
 334    4582    4582     4160.0000     4160.0000    0.000%
 335    4580    4580     4096.0000     4096.0000    0.000%
 336    458D    458D     4512.0000     4512.0000    0.000%
 337    4584    4584     4224.0000     4224.0000    0.000%
 338    4583    4583     4192.0000     4192.0000    0.000%
 339    4588    4588     4352.0000     4352.0000    0.000%
 340    4580    4580     4096.0000     4096.0000    0.000%
 341    4581    4581     4128.0000     4128.0000    0.000%
 342    4582    4582     4160.0000     4160.0000    0.000%
 343    4587    4587     4320.0000     4320.0000    0.000%
 344    4581    4581     4128.0000     4128.0000    0.000%
 345    4583    4583     4192.0000     4192.0000    0.000%
 346    4572    4572     3872.0000     3872.0000    0.000%
 347    4585    4585     4256.0000     4256.0000    0.000%
 348    4586    4586     4288.0000     4288.0000    0.000%
 349    4581    4581     4128.0000     4128.0000    0.000%
 350    458C    458C     4480.0000     4480.0000    0.000%
 351    458A    458A     4416.0000     4416.0000    0.000%
 352    458C    458C     4480.0000     4480.0000    0.000%
 353    4584    4584     4224.0000     4224.0000    0.000%
 354    4574    4574     3904.0000     3904.0000    0.000%
 355    4579    4579     3984.0000     3984.0000    0.000%
 356    4582    4582     4160.0000     4160.0000    0.000%
 357    4581    4581     4128.0000     4128.0000    0.000%
 358    4586    4586     4288.0000     4288.0000    0.000%
 359    4580    4580     4096.0000     4096.0000    0.000%
 360    456E    456E     3808.0000     3808.0000    0.000%
 361    4580    4580     4096.0000     4096.0000    0.000%
